NGX AESO Flat Alberta - AF - D
Trade Date ,Instrument Date ,Low CAD/MWh,WAvg CAD/MWh,High CAD/MWh,Settle CAD/MWh,Volume MW,Open Interest MW
1/1/2021,3/20/2021,,,,59,,0
1/1/2021,3/21/2021,,,,59,,0
1/1/2021,3/22/2021,,,,59,,0
1/1/2021,3/23/2021,,,,59,,0
1/1/2021,3/24/2021,,,,59,,0
1/1/2021,3/25/2021,,,,59,,0
1/2/2021,1/3/2021,,,,50.63,,0
1/2/2021,1/4/2021,,,,66.75,,0
1/2/2021,1/5/2021,,,,66.75,,0
1/2/2021,1/6/2021,,,,66.75,,0
1/2/2021,1/7/2021,,,,66.75,,0
1/2/2021,1/8/2021,,,,66.75,,0
1/2/2021,1/9/2021,,,,44.25,,0
1/2/2021,1/10/2021,,,,44.25,,0
1/2/2021,1/11/2021,,,,69.25,,0
1/2/2021,1/12/2021,,,,69.25,,0
1/2/2021,1/13/2021,,,,69.25,,0
1/2/2021,1/14/2021,,,,69.25,,0
1/2/2021,1/15/2021,,,,69.25,,0
1/2/2021,1/16/2021,,,,44.25,,0
1/2/2021,1/17/2021,,,,44.25,,0
1/2/2021,1/18/2021,,,,66.75,,0
1/2/2021,1/19/2021,,,,66.75,,0
1/2/2021,1/20/2021,,,,66.75,,0
1/2/2021,1/21/2021,,,,66.75,,0
1/2/2021,1/22/2021,,,,66.75,,0
1/2/2021,1/23/2021,,,,44.25,,0
1/2/2021,1/24/2021,,,,44.25,,0
1/2/2021,1/25/2021,,,,64.25,,0
1/2/2021,1/26/2021,,,,64.25,,0
1/2/2021,1/27/2021,,,,64.25,,0
1/2/2021,1/28/2021,,,,64.25,,0
1/2/2021,1/29/2021,,,,64.25,,0
1/2/2021,1/30/2021,,,,44.25,,0
1/2/2021,1/31/2021,,,,44.25,,0
1/2/2021,2/1/2021,,,,69.75,,0
1/2/2021,2/2/2021,,,,69.75,,0
1/2/2021,2/3/2021,,,,69.75,,0
1/2/2021,2/4/2021,,,,69.75,,0
1/2/2021,2/5/2021,,,,69.75,,0
1/2/2021,2/6/2021,,,,69.75,,0
1/2/2021,2/7/2021,,,,69.75,,0
1/2/2021,2/8/2021,,,,69.75,,0
1/2/2021,2/9/2021,,,,69.75,,0
1/2/2021,2/10/2021,,,,69.75,,0
1/2/2021,2/11/2021,,,,69.75,,0
1/2/2021,2/12/2021,,,,69.75,,0
1/2/2021,2/13/2021,,,,69.75,,0
1/2/2021,2/14/2021,,,,69.75,,0
1/2/2021,2/15/2021,,,,69.75,,0
1/2/2021,2/16/2021,,,,69.75,,0
1/2/2021,2/17/2021,,,,69.75,,0
1/2/2021,2/18/2021,,,,69.75,,0
1/2/2021,2/19/2021,,,,69.75,,0
1/2/2021,2/20/2021,,,,69.75,,0
1/2/2021,2/21/2021,,,,69.75,,0
1/2/2021,2/22/2021,,,,69.75,,0
1/2/2021,2/23/2021,,,,69.75,,0
1/2/2021,2/24/2021,,,,69.75,,0
1/2/2021,2/25/2021,,,,69.75,,0
1/2/2021,2/26/2021,,,,69.75,,0
1/2/2021,2/27/2021,,,,69.75,,0
1/2/2021,2/28/2021,,,,69.75,,0
1/2/2021,3/1/2021,,,,59,,0
1/2/2021,3/2/2021,,,,59,,0
1/2/2021,3/3/2021,,,,59,,0
1/2/2021,3/4/2021,,,,59,,0
1/2/2021,3/5/2021,,,,59,,0
1/2/2021,3/6/2021,,,,59,,0
1/2/2021,3/7/2021,,,,59,,0
1/2/2021,3/8/2021,,,,59,,0
1/2/2021,3/9/2021,,,,59,,0
1/2/2021,3/10/2021,,,,59,,0
1/2/2021,3/11/2021,,,,59,,0
1/2/2021,3/12/2021,,,,59,,0
1/2/2021,3/13/2021,,,,59,,0
1/2/2021,3/14/2021,,,,59,,0
1/2/2021,3/15/2021,,,,59,,0
1/2/2021,3/16/2021,,,,59,,0
1/2/2021,3/17/2021,,,,59,,0
1/2/2021,3/18/2021,,,,59,,0
1/2/2021,3/19/2021,,,,59,,0
1/2/2021,3/20/2021,,,,59,,0
1/2/2021,3/21/2021,,,,59,,0
1/2/2021,3/22/2021,,,,59,,0
1/2/2021,3/23/2021,,,,59,,0
1/2/2021,3/24/2021,,,,59,,0
1/2/2021,3/25/2021,,,,59,,0
1/2/2021,3/26/2021,,,,59,,0
1/3/2021,1/4/2021,,,,66.75,,0
1/3/2021,1/5/2021,,,,66.75,,0
1/3/2021,1/6/2021,,,,66.75,,0
1/3/2021,1/7/2021,,,,66.75,,0
1/3/2021,1/8/2021,,,,66.75,,0
1/3/2021,1/9/2021,,,,44.25,,0
1/3/2021,1/10/2021,,,,44.25,,0
1/3/2021,1/11/2021,,,,69.25,,0
1/3/2021,1/12/2021,,,,69.25,,0
1/3/2021,1/13/2021,,,,69.25,,0
1/3/2021,1/14/2021,,,,69.25,,0
1/3/2021,1/15/2021,,,,69.25,,0
1/3/2021,1/16/2021,,,,44.25,,0
1/3/2021,1/17/2021,,,,44.25,,0
1/3/2021,1/18/2021,,,,66.75,,0
1/3/2021,1/19/2021,,,,66.75,,0
1/3/2021,1/20/2021,,,,66.75,,0
1/3/2021,1/21/2021,,,,66.75,,0
1/3/2021,1/22/2021,,,,66.75,,0
1/3/2021,1/23/2021,,,,44.25,,0
1/3/2021,1/24/2021,,,,44.25,,0
1/3/2021,1/25/2021,,,,64.25,,0
1/3/2021,1/26/2021,,,,64.25,,0
1/3/2021,1/27/2021,,,,64.25,,0
1/3/2021,1/28/2021,,,,64.25,,0
1/3/2021,1/29/2021,,,,64.25,,0
1/3/2021,1/30/2021,,,,44.25,,0
1/3/2021,1/31/2021,,,,44.25,,0
1/3/2021,2/1/2021,,,,69.75,,0
1/3/2021,2/2/2021,,,,69.75,,0
1/3/2021,2/3/2021,,,,69.75,,0
1/3/2021,2/4/2021,,,,69.75,,0
1/3/2021,2/5/2021,,,,69.75,,0
1/3/2021,2/6/2021,,,,69.75,,0
1/3/2021,2/7/2021,,,,69.75,,0
1/3/2021,2/8/2021,,,,69.75,,0
1/3/2021,2/9/2021,,,,69.75,,0
1/3/2021,2/10/2021,,,,69.75,,0
1/3/2021,2/11/2021,,,,69.75,,0
1/3/2021,2/12/2021,,,,69.75,,0
1/3/2021,2/13/2021,,,,69.75,,0
1/3/2021,2/14/2021,,,,69.75,,0
1/3/2021,2/15/2021,,,,69.75,,0
1/3/2021,2/16/2021,,,,69.75,,0
1/3/2021,2/17/2021,,,,69.75,,0
1/3/2021,2/18/2021,,,,69.75,,0
1/3/2021,2/19/2021,,,,69.75,,0
1/3/2021,2/20/2021,,,,69.75,,0
1/3/2021,2/21/2021,,,,69.75,,0
1/3/2021,2/22/2021,,,,69.75,,0
1/3/2021,2/23/2021,,,,69.75,,0
1/3/2021,2/24/2021,,,,69.75,,0
1/3/2021,2/25/2021,,,,69.75,,0
1/3/2021,2/26/2021,,,,69.75,,0
1/3/2021,2/27/2021,,,,69.75,,0
1/3/2021,2/28/2021,,,,69.75,,0
1/3/2021,3/1/2021,,,,59,,0
1/3/2021,3/2/2021,,,,59,,0
1/3/2021,3/3/2021,,,,59,,0
1/3/2021,3/4/2021,,,,59,,0
1/3/2021,3/5/2021,,,,59,,0
1/3/2021,3/6/2021,,,,59,,0
1/3/2021,3/7/2021,,,,59,,0
1/3/2021,3/8/2021,,,,59,,0
1/3/2021,3/9/2021,,,,59,,0
1/3/2021,3/10/2021,,,,59,,0
1/3/2021,3/11/2021,,,,59,,0
1/3/2021,3/12/2021,,,,59,,0
1/3/2021,3/13/2021,,,,59,,0
1/3/2021,3/14/2021,,,,59,,0
1/3/2021,3/15/2021,,,,59,,0
1/3/2021,3/16/2021,,,,59,,0
1/3/2021,3/17/2021,,,,59,,0
1/3/2021,3/18/2021,,,,59,,0
1/3/2021,3/19/2021,,,,59,,0
1/3/2021,3/20/2021,,,,59,,0
1/3/2021,3/21/2021,,,,59,,0
1/3/2021,3/22/2021,,,,59,,0
1/3/2021,3/23/2021,,,,59,,0
1/3/2021,3/24/2021,,,,59,,0
1/3/2021,3/25/2021,,,,59,,0
1/3/2021,3/26/2021,,,,59,,0
1/4/2021,1/5/2021,,,,60,,0
1/4/2021,1/6/2021,,,,60,,0
1/4/2021,1/7/2021,,,,85,,0
1/4/2021,1/8/2021,,,,60,,0
1/4/2021,1/9/2021,,,,50,,0
1/4/2021,1/10/2021,,,,50,,0
1/4/2021,1/11/2021,,,,70,,0
1/4/2021,1/12/2021,,,,70,,0
1/4/2021,1/13/2021,,,,70,,0
1/4/2021,1/14/2021,,,,70,,0
1/4/2021,1/15/2021,,,,70,,0
1/4/2021,1/16/2021,,,,50,,0
1/4/2021,1/17/2021,,,,50,,0
1/4/2021,1/18/2021,,,,75,,0
1/4/2021,1/19/2021,,,,75,,0
1/4/2021,1/20/2021,,,,75,,0
1/4/2021,1/21/2021,,,,75,,0
1/4/2021,1/22/2021,,,,75,,0
1/4/2021,1/23/2021,,,,55,,0
1/4/2021,1/24/2021,,,,55,,0
1/4/2021,1/25/2021,,,,75,,0
1/4/2021,1/26/2021,,,,75,,0
1/4/2021,1/27/2021,,,,75,,0
1/4/2021,1/28/2021,,,,75,,0
1/4/2021,1/29/2021,,,,75,,0
1/4/2021,1/30/2021,,,,55,,0
1/4/2021,1/31/2021,,,,55,,0
1/4/2021,2/1/2021,,,,74.75,,0
1/4/2021,2/2/2021,,,,74.75,,0
1/4/2021,2/3/2021,,,,74.75,,0
1/4/2021,2/4/2021,,,,74.75,,0
1/4/2021,2/5/2021,,,,74.75,,0
1/4/2021,2/6/2021,,,,74.75,,0
1/4/2021,2/7/2021,,,,74.75,,0
1/4/2021,2/8/2021,,,,74.75,,0
1/4/2021,2/9/2021,,,,74.75,,0
1/4/2021,2/10/2021,,,,74.75,,0
1/4/2021,2/11/2021,,,,74.75,,0
1/4/2021,2/12/2021,,,,74.75,,0
1/4/2021,2/13/2021,,,,74.75,,0
1/4/2021,2/14/2021,,,,74.75,,0
1/4/2021,2/15/2021,,,,74.75,,0
1/4/2021,2/16/2021,,,,74.75,,0
1/4/2021,2/17/2021,,,,74.75,,0
1/4/2021,2/18/2021,,,,74.75,,0
1/4/2021,2/19/2021,,,,74.75,,0
1/4/2021,2/20/2021,,,,74.75,,0
1/4/2021,2/21/2021,,,,74.75,,0
1/4/2021,2/22/2021,,,,74.75,,0
1/4/2021,2/23/2021,,,,74.75,,0
1/4/2021,2/24/2021,,,,74.75,,0
1/4/2021,2/25/2021,,,,74.75,,0
1/4/2021,2/26/2021,,,,74.75,,0
1/4/2021,2/27/2021,,,,74.75,,0
1/4/2021,2/28/2021,,,,74.75,,0
1/4/2021,3/1/2021,,,,62,,0
1/4/2021,3/2/2021,,,,62,,0
1/4/2021,3/3/2021,,,,62,,0
1/4/2021,3/4/2021,,,,62,,0
1/4/2021,3/5/2021,,,,62,,0
1/4/2021,3/6/2021,,,,62,,0
1/4/2021,3/7/2021,,,,62,,0
1/4/2021,3/8/2021,,,,62,,0
1/4/2021,3/9/2021,,,,62,,0
1/4/2021,3/10/2021,,,,62,,0
1/4/2021,3/11/2021,,,,62,,0
1/4/2021,3/12/2021,,,,62,,0
1/4/2021,3/13/2021,,,,62,,0
1/4/2021,3/14/2021,,,,62,,0
1/4/2021,3/15/2021,,,,62,,0
1/4/2021,3/16/2021,,,,62,,0
1/4/2021,3/17/2021,,,,62,,0
1/4/2021,3/18/2021,,,,62,,0
1/4/2021,3/19/2021,,,,62,,0
1/4/2021,3/20/2021,,,,62,,0
1/4/2021,3/21/2021,,,,62,,0
1/4/2021,3/22/2021,,,,62,,0
1/4/2021,3/23/2021,,,,62,,0
1/4/2021,3/24/2021,,,,62,,0
1/4/2021,3/25/2021,,,,62,,0
1/4/2021,3/26/2021,,,,62,,0
1/4/2021,3/27/2021,,,,62,,0
1/4/2021,3/28/2021,,,,62,,0
1/4/2021,3/29/2021,,,,62,,0
1/5/2021,1/6/2021,,,,70,,0
1/5/2021,1/7/2021,,,,125,,0
1/5/2021,1/8/2021,,,,55,,0
1/5/2021,1/9/2021,,,,47.5,,0
1/5/2021,1/10/2021,,,,47.5,,0
1/5/2021,1/11/2021,,,,65,,0
1/5/2021,1/12/2021,,,,65,,0
1/5/2021,1/13/2021,,,,65,,0
1/5/2021,1/14/2021,,,,65,,0
1/5/2021,1/15/2021,,,,65,,0
1/5/2021,1/16/2021,,,,50,,0
1/5/2021,1/17/2021,,,,50,,0
1/5/2021,1/18/2021,,,,75,,0
1/5/2021,1/19/2021,,,,75,,0
1/5/2021,1/20/2021,,,,75,,0
1/5/2021,1/21/2021,,,,75,,0
1/5/2021,1/22/2021,,,,75,,0
1/5/2021,1/23/2021,,,,75,,0
1/5/2021,1/24/2021,,,,75,,0
1/5/2021,1/25/2021,,,,75,,0
1/5/2021,1/26/2021,,,,75,,0
1/5/2021,1/27/2021,,,,75,,0
1/5/2021,1/28/2021,,,,75,,0
1/5/2021,1/29/2021,,,,75,,0
1/5/2021,1/30/2021,,,,75,,0
1/5/2021,1/31/2021,,,,75,,0
1/5/2021,2/1/2021,,,,76.5,,0
1/5/2021,2/2/2021,,,,76.5,,0
1/5/2021,2/3/2021,,,,76.5,,0
1/5/2021,2/4/2021,,,,76.5,,0
1/5/2021,2/5/2021,,,,76.5,,0
1/5/2021,2/6/2021,,,,76.5,,0
1/5/2021,2/7/2021,,,,76.5,,0
1/5/2021,2/8/2021,,,,76.5,,0
1/5/2021,2/9/2021,,,,76.5,,0
1/5/2021,2/10/2021,,,,76.5,,0
1/5/2021,2/11/2021,,,,76.5,,0
1/5/2021,2/12/2021,,,,76.5,,0
1/5/2021,2/13/2021,,,,76.5,,0
1/5/2021,2/14/2021,,,,76.5,,0
1/5/2021,2/15/2021,,,,76.5,,0
1/5/2021,2/16/2021,,,,76.5,,0
1/5/2021,2/17/2021,,,,76.5,,0
1/5/2021,2/18/2021,,,,76.5,,0
1/5/2021,2/19/2021,,,,76.5,,0
1/5/2021,2/20/2021,,,,76.5,,0
1/5/2021,2/21/2021,,,,76.5,,0
1/5/2021,2/22/2021,,,,76.5,,0
1/5/2021,2/23/2021,,,,76.5,,0
1/5/2021,2/24/2021,,,,76.5,,0
1/5/2021,2/25/2021,,,,76.5,,0
1/5/2021,2/26/2021,,,,76.5,,0
1/5/2021,2/27/2021,,,,76.5,,0
1/5/2021,2/28/2021,,,,76.5,,0
1/5/2021,3/1/2021,,,,63.5,,0
1/5/2021,3/2/2021,,,,63.5,,0
1/5/2021,3/3/2021,,,,63.5,,0
1/5/2021,3/4/2021,,,,63.5,,0
1/5/2021,3/5/2021,,,,63.5,,0
1/5/2021,3/6/2021,,,,63.5,,0
1/5/2021,3/7/2021,,,,63.5,,0
1/5/2021,3/8/2021,,,,63.5,,0
1/5/2021,3/9/2021,,,,63.5,,0
1/5/2021,3/10/2021,,,,63.5,,0
1/5/2021,3/11/2021,,,,63.5,,0
1/5/2021,3/12/2021,,,,63.5,,0
1/5/2021,3/13/2021,,,,63.5,,0
1/5/2021,3/14/2021,,,,63.5,,0
1/5/2021,3/15/2021,,,,63.5,,0
1/5/2021,3/16/2021,,,,63.5,,0
1/5/2021,3/17/2021,,,,63.5,,0
1/5/2021,3/18/2021,,,,63.5,,0
1/5/2021,3/19/2021,,,,63.5,,0
1/5/2021,3/20/2021,,,,63.5,,0
1/5/2021,3/21/2021,,,,63.5,,0
1/5/2021,3/22/2021,,,,63.5,,0
1/5/2021,3/23/2021,,,,63.5,,0
1/5/2021,3/24/2021,,,,63.5,,0
1/5/2021,3/25/2021,,,,63.5,,0
1/5/2021,3/26/2021,,,,63.5,,0
1/5/2021,3/27/2021,,,,63.5,,0
1/5/2021,3/28/2021,,,,63.5,,0
1/5/2021,3/29/2021,,,,63.5,,0
1/5/2021,3/30/2021,,,,63.5,,0
1/6/2021,1/7/2021,,,,125,,0
1/6/2021,1/8/2021,,,,55,,0
1/6/2021,1/9/2021,,,,47.5,,0
1/6/2021,1/10/2021,,,,47.5,,0
1/6/2021,1/11/2021,,,,65,,0
1/6/2021,1/12/2021,,,,65,,0
1/6/2021,1/13/2021,,,,65,,0
1/6/2021,1/14/2021,,,,65,,0
1/6/2021,1/15/2021,,,,65,,0
1/6/2021,1/16/2021,,,,50,,0
1/6/2021,1/17/2021,,,,50,,0
1/6/2021,1/18/2021,,,,77.5,,0
1/6/2021,1/19/2021,,,,77.5,,0
1/6/2021,1/20/2021,,,,77.5,,0
1/6/2021,1/21/2021,,,,77.5,,0
1/6/2021,1/22/2021,,,,77.5,,0
1/6/2021,1/23/2021,,,,77.5,,0
1/6/2021,1/24/2021,,,,77.5,,0
1/6/2021,1/25/2021,,,,77.5,,0
1/6/2021,1/26/2021,,,,77.5,,0
1/6/2021,1/27/2021,,,,77.5,,0
1/6/2021,1/28/2021,,,,77.5,,0
1/6/2021,1/29/2021,,,,77.5,,0
1/6/2021,1/30/2021,,,,77.5,,0
1/6/2021,1/31/2021,,,,77.5,,0
1/6/2021,2/1/2021,,,,76.44,,0
1/6/2021,2/2/2021,,,,76.44,,0
1/6/2021,2/3/2021,,,,76.44,,0
1/6/2021,2/4/2021,,,,76.44,,0
1/6/2021,2/5/2021,,,,76.44,,0
1/6/2021,2/6/2021,,,,76.44,,0
1/6/2021,2/7/2021,,,,76.44,,0
1/6/2021,2/8/2021,,,,76.44,,0
1/6/2021,2/9/2021,,,,76.44,,0
1/6/2021,2/10/2021,,,,76.44,,0
1/6/2021,2/11/2021,,,,76.44,,0
1/6/2021,2/12/2021,,,,76.44,,0
1/6/2021,2/13/2021,,,,76.44,,0
1/6/2021,2/14/2021,,,,76.44,,0
1/6/2021,2/15/2021,,,,76.44,,0
1/6/2021,2/16/2021,,,,76.44,,0
1/6/2021,2/17/2021,,,,76.44,,0
1/6/2021,2/18/2021,,,,76.44,,0
1/6/2021,2/19/2021,,,,76.44,,0
1/6/2021,2/20/2021,,,,76.44,,0
1/6/2021,2/21/2021,,,,76.44,,0
1/6/2021,2/22/2021,,,,76.44,,0
1/6/2021,2/23/2021,,,,76.44,,0
1/6/2021,2/24/2021,,,,76.44,,0
1/6/2021,2/25/2021,,,,76.44,,0
1/6/2021,2/26/2021,,,,76.44,,0
1/6/2021,2/27/2021,,,,76.44,,0
1/6/2021,2/28/2021,,,,76.44,,0
1/6/2021,3/1/2021,,,,63.5,,0
1/6/2021,3/2/2021,,,,63.5,,0
1/6/2021,3/3/2021,,,,63.5,,0
1/6/2021,3/4/2021,,,,63.5,,0
1/6/2021,3/5/2021,,,,63.5,,0
1/6/2021,3/6/2021,,,,63.5,,0
1/6/2021,3/7/2021,,,,63.5,,0
1/6/2021,3/8/2021,,,,63.5,,0
1/6/2021,3/9/2021,,,,63.5,,0
1/6/2021,3/10/2021,,,,63.5,,0
1/6/2021,3/11/2021,,,,63.5,,0
1/6/2021,3/12/2021,,,,63.5,,0
1/6/2021,3/13/2021,,,,63.5,,0
1/6/2021,3/14/2021,,,,63.5,,0
1/6/2021,3/15/2021,,,,63.5,,0
1/6/2021,3/16/2021,,,,63.5,,0
1/6/2021,3/17/2021,,,,63.5,,0
1/6/2021,3/18/2021,,,,63.5,,0
1/6/2021,3/19/2021,,,,63.5,,0
1/6/2021,3/20/2021,,,,63.5,,0
1/6/2021,3/21/2021,,,,63.5,,0
1/6/2021,3/22/2021,,,,63.5,,0
1/6/2021,3/23/2021,,,,63.5,,0
1/6/2021,3/24/2021,,,,63.5,,0
1/6/2021,3/25/2021,,,,63.5,,0
1/6/2021,3/26/2021,,,,63.5,,0
1/6/2021,3/27/2021,,,,63.5,,0
1/6/2021,3/28/2021,,,,63.5,,0
1/6/2021,3/29/2021,,,,63.5,,0
1/6/2021,3/30/2021,,,,63.5,,0
1/6/2021,3/31/2021,,,,63.5,,0
1/7/2021,1/8/2021,,,,55,,0
1/7/2021,1/9/2021,,,,47.5,,0
1/7/2021,1/10/2021,,,,47.5,,0
1/7/2021,1/11/2021,,,,65,,0
1/7/2021,1/12/2021,,,,65,,0
1/7/2021,1/13/2021,,,,65,,0
1/7/2021,1/14/2021,,,,65,,0
1/7/2021,1/15/2021,,,,65,,0
1/7/2021,1/16/2021,,,,50,,0
1/7/2021,1/17/2021,,,,50,,0
1/7/2021,1/18/2021,,,,80,,0
1/7/2021,1/19/2021,,,,80,,0
1/7/2021,1/20/2021,,,,80,,0
1/7/2021,1/21/2021,,,,80,,0
1/7/2021,1/22/2021,,,,80,,0
1/7/2021,1/23/2021,,,,65,,0
1/7/2021,1/24/2021,,,,65,,0
1/7/2021,1/25/2021,,,,85,,0
1/7/2021,1/26/2021,,,,85,,0
1/7/2021,1/27/2021,,,,85,,0
1/7/2021,1/28/2021,,,,85,,0
1/7/2021,1/29/2021,,,,85,,0
1/7/2021,1/30/2021,,,,65,,0
1/7/2021,1/31/2021,,,,65,,0
1/7/2021,2/1/2021,,,,76.44,,0
1/7/2021,2/2/2021,,,,76.44,,0
1/7/2021,2/3/2021,,,,76.44,,0
1/7/2021,2/4/2021,,,,76.44,,0
1/7/2021,2/5/2021,,,,76.44,,0
1/7/2021,2/6/2021,,,,76.44,,0
1/7/2021,2/7/2021,,,,76.44,,0
1/7/2021,2/8/2021,,,,76.44,,0
1/7/2021,2/9/2021,,,,76.44,,0
1/7/2021,2/10/2021,,,,76.44,,0
1/7/2021,2/11/2021,,,,76.44,,0
1/7/2021,2/12/2021,,,,76.44,,0
1/7/2021,2/13/2021,,,,76.44,,0
1/7/2021,2/14/2021,,,,76.44,,0
1/7/2021,2/15/2021,,,,76.44,,0
1/7/2021,2/16/2021,,,,76.44,,0
1/7/2021,2/17/2021,,,,76.44,,0
1/7/2021,2/18/2021,,,,76.44,,0
1/7/2021,2/19/2021,,,,76.44,,0
1/7/2021,2/20/2021,,,,76.44,,0
1/7/2021,2/21/2021,,,,76.44,,0
1/7/2021,2/22/2021,,,,76.44,,0
1/7/2021,2/23/2021,,,,76.44,,0
1/7/2021,2/24/2021,,,,76.44,,0
1/7/2021,2/25/2021,,,,76.44,,0
1/7/2021,2/26/2021,,,,76.44,,0
1/7/2021,2/27/2021,,,,76.44,,0
1/7/2021,2/28/2021,,,,76.44,,0
1/7/2021,3/1/2021,,,,63.25,,0
1/7/2021,3/2/2021,,,,63.25,,0
1/7/2021,3/3/2021,,,,63.25,,0
1/7/2021,3/4/2021,,,,63.25,,0
1/7/2021,3/5/2021,,,,63.25,,0
1/7/2021,3/6/2021,,,,63.25,,0
1/7/2021,3/7/2021,,,,63.25,,0
1/7/2021,3/8/2021,,,,63.25,,0
1/7/2021,3/9/2021,,,,63.25,,0
1/7/2021,3/10/2021,,,,63.25,,0
1/7/2021,3/11/2021,,,,63.25,,0
1/7/2021,3/12/2021,,,,63.25,,0
1/7/2021,3/13/2021,,,,63.25,,0
1/7/2021,3/14/2021,,,,63.25,,0
1/7/2021,3/15/2021,,,,63.25,,0
1/7/2021,3/16/2021,,,,63.25,,0
1/7/2021,3/17/2021,,,,63.25,,0
1/7/2021,3/18/2021,,,,63.25,,0
1/7/2021,3/19/2021,,,,63.25,,0
1/7/2021,3/20/2021,,,,63.25,,0
1/7/2021,3/21/2021,,,,63.25,,0
1/7/2021,3/22/2021,,,,63.25,,0
1/7/2021,3/23/2021,,,,63.25,,0
1/7/2021,3/24/2021,,,,63.25,,0
1/7/2021,3/25/2021,,,,63.25,,0
1/7/2021,3/26/2021,,,,63.25,,0
1/7/2021,3/27/2021,,,,63.25,,0
1/7/2021,3/28/2021,,,,63.25,,0
1/7/2021,3/29/2021,,,,63.25,,0
1/7/2021,3/30/2021,,,,63.25,,0
1/7/2021,3/31/2021,,,,63.25,,0
1/7/2021,4/1/2021,,,,68.75,,0
1/8/2021,1/9/2021,,,,48,,0
1/8/2021,1/10/2021,,,,48,,0
1/8/2021,1/11/2021,,,,55,,0
1/8/2021,1/12/2021,,,,55,,0
1/8/2021,1/13/2021,,,,55,,0
1/8/2021,1/14/2021,,,,55,,0
1/8/2021,1/15/2021,,,,55,,0
1/8/2021,1/16/2021,,,,50,,0
